# 10-Minute Meditation Session
# Date: 2026-01-21T18:51:32.146497
# Duration: 600 seconds
# Samples: 29629
# Type: Guided meditation
#
timestamp_ms,thermistor,piezo,ir,red
4564,1819,116,208898,207176
4584,1812,121,208874,207153
4604,1831,115,208871,207151
4624,1832,108,208873,207148
4644,1831,103,208874,207131
4664,1815,103,208880,207154
4684,1812,112,208875,207135
4704,1815,103,208899,207144
4724,1816,81,208915,207130
4744,1821,95,208882,207119
4767,1821,204,208887,207098
4787,1823,223,208889,207088
4807,1816,200,208866,207065
4827,1823,199,208892,207092
4847,1816,187,208879,207080
4867,1823,163,208896,207063
4887,1839,167,208914,207078
4907,1823,156,208910,207053
4927,1839,143,208922,207059
4947,1826,132,208910,207044
4967,1820,127,208911,207026
4987,1823,141,208939,207048
5007,1824,123,208932,207045
5027,1835,103,208909,207009
5047,1829,112,208913,207009
5067,1827,112,208901,206992
5087,1832,99,208905,206985
5107,1839,103,208866,206963
5127,1839,91,208872,206940
5147,1826,81,208868,206940
5167,1840,80,208849,206931
5190,1831,223,208863,206920
5210,1847,215,208846,206899
5230,1833,224,208777,206835
5250,1832,215,208674,206805
5270,1847,179,208522,206723
5290,1826,187,208412,206676
5310,1841,167,208368,206645
5330,1832,163,208336,206616
5350,1828,159,208364,206660
5370,1835,157,208344,206639
5390,1828,121,208330,206609
5410,1841,119,208317,206610
5430,1835,116,208301,206601
5450,1829,127,208332,206601
5470,1833,108,208371,206631
5490,1831,103,208411,206639
5510,1831,97,208444,206651
5530,1833,107,208459,206685
5550,1849,83,208489,206663
5570,1840,81,208503,206670
5590,1837,80,208478,206652
5614,1824,202,208469,206661
5634,1818,187,208511,206654
5654,1818,178,208543,206667
5674,1818,183,208563,206657
5694,1823,164,208588,206669
5714,1829,167,208575,206661
5734,1821,145,208590,206652
5754,1821,140,208594,206666
5774,1812,140,208604,206671
5794,1811,128,208607,206656
5814,1816,119,208628,206679
5834,1823,119,208648,206666
5854,1821,107,208634,206652
5874,1801,125,208615,206661
5894,1800,100,208631,206644
5914,1811,96,208623,206627
5934,1796,111,208633,206637
5954,1796,88,208612,206629
5974,1786,89,208618,206614
5997,1785,204,208611,206575
6017,1795,223,208543,206542
6037,1784,232,208382,206474
6057,1792,178,208261,206405
6077,1776,179,208167,206391
6097,1781,205,208141,206387
6117,1768,152,208188,206413
6137,1768,136,208198,206418
6157,1766,143,208230,206417
6177,1769,137,208228,206394
6197,1768,145,208204,206411
6217,1763,139,208211,206388
6237,1775,121,208222,206405
6257,1767,115,208251,206414
6277,1759,125,208273,206393
6297,1757,101,208283,206414
6317,1751,98,208316,206407
6337,1752,90,208316,206406
6357,1740,97,208321,206412
6377,1745,88,208297,206394
6397,1739,100,208303,206381
6421,1739,207,208320,206396
6441,1751,207,208331,206392
6461,1744,189,208385,206420
6481,1728,185,208379,206432
6501,1744,163,208412,206419
6521,1735,154,208427,206413
6541,1723,175,208405,206403
6561,1722,159,208446,206430
6581,1739,136,208468,206451
6601,1716,128,208485,206451
6621,1731,127,208505,206453
6641,1727,110,208491,206441
6661,1717,125,208492,206436
6681,1728,108,208493,206423
6701,1715,120,208494,206402
6721,1708,89,208481,206409
6741,1711,103,208463,206405
6761,1706,91,208467,206386
6781,1713,83,208487,206397
6801,1704,82,208528,206411
6825,1711,208,208522,206414
6845,1719,179,208555,206419
6865,1700,205,208566,206397
6885,1712,184,208458,206345
6905,1712,161,208352,206305
6925,1692,167,208231,206262
6945,1707,136,208162,206220
6965,1690,157,208141,206235
6985,1692,144,208129,206229
7005,1701,116,208135,206196
7025,1707,117,208129,206217
7045,1692,122,208144,206210
7065,1697,120,208158,206189
7085,1707,117,208119,206211
7105,1687,104,208172,206224
7125,1686,96,208225,206235
7145,1688,95,208262,206268
7165,1696,87,208304,206266
7185,1684,93,208342,206268
7209,1696,207,208346,206297
7229,1678,215,208358,206289
7249,1691,192,208379,206291
7269,1695,183,208374,206314
7289,1687,184,208436,206313
7309,1688,167,208523,206371
7329,1681,172,208558,206397
7349,1691,151,208584,206381
7369,1674,143,208609,206400
7389,1681,139,208609,206387
7409,1676,124,208625,206402
7429,1685,115,208632,206409
7449,1679,123,208661,206420
7469,1691,108,208679,206425
7489,1672,113,208677,206415
7509,1683,103,208658,206406
7529,1671,90,208661,206392
7549,1672,96,208673,206406
7569,1681,91,208688,206408
7589,1670,89,208717,206413
7612,1674,204,208708,206391
7632,1670,222,208712,206420
7652,1679,213,208733,206447
7672,1671,192,208806,206459
7692,1673,190,208807,206460
7712,1673,167,208767,206423
7732,1681,175,208698,206410
7752,1674,167,208591,206377
7772,1687,160,208555,206380
7792,1688,132,208551,206376
7812,1691,132,208589,206406
7832,1681,122,208609,206410
7852,1688,119,208611,206402
7872,1715,105,208629,206418
7892,1695,125,208628,206415
7912,1693,115,208636,206400
7932,1683,98,208651,206414
7952,1680,97,208677,206425
7972,1687,92,208700,206447
7992,1680,91,208728,206416
8012,1692,84,208770,206442
8036,1687,206,208774,206442
8056,1688,205,208776,206417
8076,1689,187,208763,206405
8096,1678,187,208714,206386
8116,1684,171,208742,206393
8136,1696,175,208754,206401
8156,1703,159,208775,206399
8176,1696,143,208843,206459
8196,1684,138,208877,206457
8216,1688,131,208894,206449
8236,1688,127,208946,206487
8256,1695,117,208985,206507
8276,1712,98,209035,206512
8296,1690,103,209034,206543
8316,1691,108,209097,206554
8336,1709,91,209146,206582
8356,1703,97,209185,206601
8376,1699,91,209216,206610
8396,1703,76,209230,206616
8421,1691,196,209229,206591
8441,1692,191,209251,206607
8461,1692,177,209238,206582
8481,1691,175,209236,206569
8501,1691,171,209257,206589
8521,1709,154,209278,206594
8541,1692,140,209287,206595
8561,1695,152,209255,206596
8581,1699,151,209217,206565
8601,1703,141,209154,206538
8621,1711,119,209070,206517
8641,1707,127,209051,206504
8661,1719,127,209049,206508
8681,1711,120,209048,206490
8701,1700,96,209022,206489
8721,1723,103,208996,206474
8741,1704,83,209012,206456
8761,1706,84,209006,206445
8781,1706,78,209025,206489
8804,1707,215,209100,206516
8824,1708,209,209199,206592
8844,1706,202,209310,206631
8864,1727,176,209380,206661
8884,1719,176,209337,206638
8904,1723,144,209326,206599
8924,1713,160,209297,206588
8944,1762,152,209253,206575
8964,1728,140,209268,206576
8984,1715,155,209295,206624
9004,1723,116,209345,206627
9024,1717,131,209397,206664
9044,1721,110,209453,206719
9064,1724,109,209541,206748
9084,1731,125,209597,206806
9104,1723,99,209666,206828
9124,1714,95,209708,206837
9144,1719,92,209675,206817
9164,1739,85,209657,206787
9184,1721,87,209627,206756
9204,1737,88,209553,206708
9228,1729,207,209514,206691
9248,1717,191,209559,206714
9268,1737,184,209636,206760
