Date,Overnight HRV,Baseline,7d Avg
Dec 8,52ms,--,51ms
Dec 9,51ms,--,51ms
Dec 10,48ms,--,51ms
Dec 11,46ms,--,50ms
Dec 12,52ms,--,51ms
Dec 13,52ms,--,51ms
Dec 14,45ms,--,49ms
Dec 15,45ms,--,48ms
Dec 16,56ms,--,49ms
Dec 17,51ms,--,49ms
Dec 18,57ms,--,51ms
Dec 19,50ms,--,51ms
Dec 20,50ms,49ms - 55ms,50ms
Dec 21,50ms,49ms - 55ms,51ms
Dec 22,44ms,48ms - 55ms,51ms
Dec 23,44ms,48ms - 55ms,49ms
Dec 24,51ms,49ms - 55ms,49ms
Dec 25,47ms,49ms - 56ms,48ms
Dec 26,47ms,49ms - 56ms,47ms
Dec 27,44ms,49ms - 56ms,47ms
Dec 28,49ms,49ms - 56ms,47ms
Dec 29,53ms,49ms - 56ms,48ms
Dec 30,51ms,48ms - 56ms,49ms
Dec 31,46ms,49ms - 55ms,48ms
Jan 1,46ms,49ms - 55ms,48ms
Jan 2,48ms,48ms - 55ms,48ms
Jan 3,44ms,48ms - 55ms,48ms
Jan 4,52ms,48ms - 55ms,48ms
