Date,Overnight HRV,Baseline,7d Avg
Jan 5,51ms,48ms - 55ms,48ms
Jan 6,53ms,48ms - 55ms,49ms
Jan 7,45ms,48ms - 55ms,48ms
Jan 8,51ms,48ms - 55ms,49ms
Jan 9,50ms,48ms - 55ms,49ms
Jan 10,46ms,47ms - 55ms,50ms
Jan 11,47ms,48ms - 55ms,49ms
Jan 12,44ms,48ms - 55ms,48ms
Jan 13,48ms,48ms - 55ms,47ms
Jan 14,53ms,48ms - 55ms,48ms
Jan 15,47ms,48ms - 55ms,48ms
Jan 16,50ms,48ms - 55ms,48ms
Jan 17,43ms,48ms - 55ms,47ms
Jan 18,51ms,48ms - 54ms,48ms
Jan 19,48ms,47ms - 54ms,48ms
Jan 20,53ms,47ms - 54ms,49ms
Jan 21,50ms,47ms - 54ms,49ms
Jan 22,42ms,47ms - 54ms,48ms
Jan 23,50ms,47ms - 54ms,48ms
Jan 24,49ms,47ms - 54ms,49ms
Jan 25,46ms,47ms - 54ms,48ms
Jan 26,47ms,47ms - 54ms,48ms
Jan 27,50ms,47ms - 54ms,48ms
Jan 28,53ms,47ms - 54ms,48ms
Jan 29,47ms,47ms - 54ms,49ms
Jan 30,47ms,47ms - 54ms,48ms
Jan 31,50ms,47ms - 54ms,49ms
Feb 1,59ms,47ms - 54ms,50ms
